localite_ID_renacom,latitude,loc_type,locality,longitude,n_bureau,n_population_2001,n_population_2012,n_voters
0,15.5,VA,ALKASS,7.64,1,62,,0.0
1,15.46,VA,ECHIT,7.52,1,51,,0.0
2,17.57,VA,MOHAMED AMAGANO,8.23,1,28,,0.0
3,16.35,VA,BAZO (VT),7.6,1,210,,0.0
4,16.21,VA,IBAKAN (VA),7.61,1,97,,0.0
5,16.22,VA,OUMOUGAZ,7.7,1,69,,0.0
6,16.28,VA,ABALAMAWA,7.82,1,168,,0.0
7,16.17,VA,ERRWAK,7.82,1,375,,0.0
8,16.21,VA,BISMILLAGHALI,7.82,1,35,,0.0
9,16.22,VA,ICHIM,7.9,1,400,53.0,0.0
10,16.12,VA,INNA TANE,7.92,1,80,,0.0
11,16.38,VA,HAMADOU MOUSSA,7.88,1,42,,0.0
12,16.12,VA,IRRAYEN,7.98,1,78,,0.0
13,16.04,VA,TEGIAGUELT (PE),7.45,1,81,,0.0
14,16.73,VA,EMILFI (PE),7.45,1,137,,0.0
15,16.07,VA,EGARAO (PE),7.45,1,23,,0.0
16,15.64,VA,BAGGO,7.74,1,65,228.0,0.0
17,15.91,VA,TEKINZIGUITE,7.29,1,211,,0.0
18,17.03,VA,TCHINTABORAK,8.19,1,799,,0.0
19,15.78,VA,BORI,7.38,1,164,58.0,288.0
20,15.8,VA,IBLICHI,7.36,1,296,,0.0
21,15.7,VA,AWIRTIKI,7.06,1,40,,0.0
22,15.7,VA,JADRI,7.02,1,243,,0.0
23,16.09,VA,KORDAB,7.94,1,35,,0.0
24,15.88,VA,SABO,7.65,1,11,74.0,0.0
25,15.87,VA,LAFIA,7.67,1,46,,0.0
26,15.83,VA,FOUTA,7.6,1,70,333.0,69.0
27,16.5,VA,ANGHA,6.92,1,56,,0.0
28,15.83,VA,BOULLA,7.74,1,89,,0.0
29,16.57,VA,ABSSECK,7.94,1,60,,0.0
30,16.78,VA,TCHIRAL,7.95,1,55,,0.0
31,17.57,VA,TCHIZOUM I,8.63,1,37,,0.0
32,15.79,VA,ABRANE,7.98,1,16,,0.0
33,16.29,VA,KOULLOU,8.05,1,81,,0.0
34,15.39,VA,OUKA MOUSSE (PE),6.87,1,126,,0.0
35,16.35,VA,LAG LAG (VA),7.71,1,65,,0.0
36,15.52,VA,TOUGBALA (VA),7.83,1,294,,0.0
37,15.8,VA,KOUDOMBOU,7.64,1,57,,0.0
38,15.79,VA,ISMAILA,7.68,1,35,,0.0
39,15.82,VA,JAMA,7.55,1,35,,0.0
40,15.88,VA,AZAOUZAOU,7.69,1,88,,0.0
41,15.4,VA,LIOU SMAILA,7.01,1,162,,0.0
42,16.37,VA,MARANDAT,7.43,1,310,652.0,479.0
43,17.21,VA,TADI BEN MOHAMED,8.37,1,336,,0.0
44,15.75,VA,TOUNKOU,7.58,1,85,250.0,0.0
45,15.91,VA,BOULE,7.63,1,43,,0.0
46,16.03,VA,AMEZIGRI (VA),7.26,1,252,,0.0
47,16.0,VA,WIRZABEM (VA),7.23,1,137,,0.0
48,15.99,VA,IBATAN (PE),7.49,1,29,,0.0
49,15.98,VA,BILAL (PE),7.49,1,47,,0.0
50,16.14,VA,TAGDO FAT,8.43,1,184,,0.0
51,15.99,VA,TEGATEMT,8.35,1,98,,0.0
52,15.96,VA,BADI,8.15,1,88,,0.0
53,15.9,VA,INGHARANE,8.17,1,40,,0.0
54,15.98,VA,MAIDJIGA,8.3,1,58,,0.0
55,15.94,VA,SABO II,8.26,1,101,,0.0
56,15.74,VA,ATABBO (PE),8.16,1,193,,0.0
57,15.7,VA,AKADANAYE (PE),8.18,1,105,,0.0
58,15.74,VA,TASSAKAMART (PE),8.25,1,67,,0.0
59,15.75,VA,ATAMBO II (PE),8.17,1,91,,0.0
60,15.85,VA,EFARTAYE (PE),8.1,1,42,,0.0
61,15.84,VA,EMISLAG (PE),8.13,1,28,,0.0
62,15.8,VA,ARABE (PE),8.2,1,48,,0.0
63,15.77,VA,ZAIDARI,8.05,1,417,,0.0
64,15.76,VA,ABALATWAYE,8.0,1,25,,0.0
65,15.76,VA,ANGAJANE,8.02,1,19,,0.0
66,16.73,VA,AKASAMSAM (VA),7.5,1,187,,0.0
67,16.64,VA,TOROUF (VA),7.63,1,251,,0.0
68,16.48,VA,FIDOUK TAMBALAG HANE,7.4,1,70,,0.0
69,16.36,VA,KOUZOUB ZOUBI,7.35,1,132,,0.0
70,16.39,VA,FIDOUK,7.26,1,103,,0.0
71,16.29,VA,KIRIRIA,8.04,1,51,,0.0
72,16.22,VA,ALAL,8.09,1,6,68.0,0.0
73,15.62,VA,ADARBISNAT,7.89,1,2776,,0.0
74,15.76,VA,TANKO (VA),7.94,1,87,,0.0
75,15.67,VA,ECHIA (VA),7.86,1,159,,0.0
76,15.81,VA,TOUMBOWAGA (VA),7.84,1,71,,0.0
77,15.76,VA,AFLA,7.98,1,7,,0.0
78,15.92,VA,DANGANA,8.2,1,99,83.0,0.0
79,17.79,VA,TAGOUAJI (VA),8.38,1,139,,0.0
80,15.56,H,AKOWEL,7.85,1,12,,0.0
81,16.82,VA,AGALALE INGARAN,7.72,1,283,,0.0
